SNV	cluster0	cluster1	cluster	dcf0	dcf1	dcf2
105	1	0	0	0.19	0.16	0.21
106	1	0	0	0.19	0.16	0.21
107	1	0	0	0.19	0.16	0.21
108	1	0	0	0.19	0.16	0.21
109	0.7	0.3	0	0.19	0.16	0.21
110	1	0	0	0.19	0.16	0.21
111	1	0	0	0.19	0.16	0.21
112	1	0	0	0.19	0.16	0.21
113	1	0	0	0.19	0.16	0.21
114	1	0	0	0.19	0.16	0.21
115	1	0	0	0.19	0.16	0.21
116	1	0	0	0.19	0.16	0.21
117	1	0	0	0.19	0.16	0.21
118	0	1	1	0	0.16	0.21
119	1	0	0	0.19	0.16	0.21
120	1	0	0	0.19	0.16	0.21
121	1	0	0	0.19	0.16	0.21
122	1	0	0	0.19	0.16	0.21
123	1	0	0	0.19	0.16	0.21
124	1	0	0	0.19	0.16	0.21
125	1	0	0	0.19	0.16	0.21
126	1	0	0	0.19	0.16	0.21
127	1	0	0	0.19	0.16	0.21
128	1	0	0	0.19	0.16	0.21
129	1	0	0	0.19	0.16	0.21
130	1	0	0	0.19	0.16	0.21
131	1	0	0	0.19	0.16	0.21
132	1	0	0	0.19	0.16	0.21
133	1	0	0	0.19	0.16	0.21
134	1	0	0	0.19	0.16	0.21
135	1	0	0	0.19	0.16	0.21
136	1	0	0	0.19	0.16	0.21
137	1	0	0	0.19	0.16	0.21
138	1	0	0	0.19	0.16	0.21
139	1	0	0	0.19	0.16	0.21
140	1	0	0	0.19	0.16	0.21
141	1	0	0	0.19	0.16	0.21
142	1	0	0	0.19	0.16	0.21
143	1	0	0	0.19	0.16	0.21
144	0	1	1	0	0.16	0.21
145	1	0	0	0.19	0.16	0.21
146	1	0	0	0.19	0.16	0.21
147	1	0	0	0.19	0.16	0.21
148	1	0	0	0.19	0.16	0.21
149	0	1	1	0	0.16	0.21
150	1	0	0	0.19	0.16	0.21
151	1	0	0	0.19	0.16	0.21
152	1	0	0	0.19	0.16	0.21
153	1	0	0	0.19	0.16	0.21
154	1	0	0	0.19	0.16	0.21
155	1	0	0	0.19	0.16	0.21
156	1	0	0	0.19	0.16	0.21
157	1	0	0	0.19	0.16	0.21
158	1	0	0	0.19	0.16	0.21
159	1	0	0	0.19	0.16	0.21
160	1	0	0	0.19	0.16	0.21
161	1	0	0	0.19	0.16	0.21
162	1	0	0	0.19	0.16	0.21
163	1	0	0	0.19	0.16	0.21
164	1	0	0	0.19	0.16	0.21
165	1	0	0	0.19	0.16	0.21
166	1	0	0	0.19	0.16	0.21
167	1	0	0	0.19	0.16	0.21
168	1	0	0	0.19	0.16	0.21
169	1	0	0	0.19	0.16	0.21
170	0	1	1	0	0.16	0.21
171	1	0	0	0.19	0.16	0.21
172	0	1	1	0	0.16	0.21
173	1	0	0	0.19	0.16	0.21
174	1	0	0	0.19	0.16	0.21
175	1	0	0	0.19	0.16	0.21
176	1	0	0	0.19	0.16	0.21
177	1	0	0	0.19	0.16	0.21
178	1	0	0	0.19	0.16	0.21
179	1	0	0	0.19	0.16	0.21
180	1	0	0	0.19	0.16	0.21
181	1	0	0	0.19	0.16	0.21
182	1	0	0	0.19	0.16	0.21
183	1	0	0	0.19	0.16	0.21
184	1	0	0	0.19	0.16	0.21
185	1	0	0	0.19	0.16	0.21
186	1	0	0	0.19	0.16	0.21
187	1	0	0	0.19	0.16	0.21
188	0.0087	0.99	1	0	0.16	0.21
189	1	0	0	0.19	0.16	0.21
190	1	0	0	0.19	0.16	0.21
191	1	0	0	0.19	0.16	0.21
192	1	0	0	0.19	0.16	0.21
193	1	0	0	0.19	0.16	0.21
194	1	0	0	0.19	0.16	0.21
195	0	1	1	0	0.16	0.21
196	1	0	0	0.19	0.16	0.21
197	0	1	1	0	0.16	0.21
198	1	0	0	0.19	0.16	0.21
199	1	0	0	0.19	0.16	0.21
200	0	1	1	0	0.16	0.21
201	1	0	0	0.19	0.16	0.21
202	1	0	0	0.19	0.16	0.21
203	1	0	0	0.19	0.16	0.21
204	1	0	0	0.19	0.16	0.21
205	1	0	0	0.19	0.16	0.21
206	1	0	0	0.19	0.16	0.21
207	1	0	0	0.19	0.16	0.21
208	1	0	0	0.19	0.16	0.21
209	1	0	0	0.19	0.16	0.21
210	1	0	0	0.19	0.16	0.21
211	1	0	0	0.19	0.16	0.21
212	0	1	1	0	0.16	0.21
213	1	0	0	0.19	0.16	0.21
214	1	0	0	0.19	0.16	0.21
215	1	0	0	0.19	0.16	0.21
216	1	0	0	0.19	0.16	0.21
217	1	0	0	0.19	0.16	0.21
218	1	0	0	0.19	0.16	0.21
219	0	1	1	0	0.16	0.21
220	1	0	0	0.19	0.16	0.21
221	1	0	0	0.19	0.16	0.21
222	0	1	1	0	0.16	0.21
223	1	0	0	0.19	0.16	0.21
224	1	0	0	0.19	0.16	0.21
225	1	0	0	0.19	0.16	0.21
226	1	0	0	0.19	0.16	0.21
227	1	0	0	0.19	0.16	0.21
228	1	0	0	0.19	0.16	0.21
229	1	0	0	0.19	0.16	0.21
230	0.58	0.42	0	0.19	0.16	0.21
231	1	0	0	0.19	0.16	0.21
232	1	0	0	0.19	0.16	0.21
233	1	0	0	0.19	0.16	0.21
234	1	0	0	0.19	0.16	0.21
235	1	0	0	0.19	0.16	0.21
236	1	0	0	0.19	0.16	0.21
237	1	0	0	0.19	0.16	0.21
238	0.58	0.42	0	0.19	0.16	0.21
239	1	0	0	0.19	0.16	0.21
240	0	1	1	0	0.16	0.21
241	1	0	0	0.19	0.16	0.21
242	1	0	0	0.19	0.16	0.21
243	1	0	0	0.19	0.16	0.21
244	1	0	0	0.19	0.16	0.21
245	1	0	0	0.19	0.16	0.21
246	1	0	0	0.19	0.16	0.21
247	1	0	0	0.19	0.16	0.21
248	1	0	0	0.19	0.16	0.21
249	1	0	0	0.19	0.16	0.21
250	1	0	0	0.19	0.16	0.21
251	0.73	0.27	0	0.19	0.16	0.21
252	1	0	0	0.19	0.16	0.21
253	1	0	0	0.19	0.16	0.21
254	1	0	0	0.19	0.16	0.21
255	1	0	0	0.19	0.16	0.21
256	0.59	0.41	0	0.19	0.16	0.21
257	1	0	0	0.19	0.16	0.21
258	1	0	0	0.19	0.16	0.21
259	0.7	0.3	0	0.19	0.16	0.21
260	1	0	0	0.19	0.16	0.21
261	1	0	0	0.19	0.16	0.21
262	1	0	0	0.19	0.16	0.21
263	1	0	0	0.19	0.16	0.21
264	1	0	0	0.19	0.16	0.21
265	1	0	0	0.19	0.16	0.21
266	1	0	0	0.19	0.16	0.21
267	1	0	0	0.19	0.16	0.21
268	1	0	0	0.19	0.16	0.21
269	1	0	0	0.19	0.16	0.21
270	1	0	0	0.19	0.16	0.21
271	1	0	0	0.19	0.16	0.21
272	0	1	1	0	0.16	0.21
273	0	1	1	0	0.16	0.21
274	0	1	1	0	0.16	0.21
275	1	0	0	0.19	0.16	0.21
276	1	0	0	0.19	0.16	0.21
277	1	0	0	0.19	0.16	0.21
278	1	0	0	0.19	0.16	0.21
279	1	0	0	0.19	0.16	0.21
280	1	0	0	0.19	0.16	0.21
281	1	0	0	0.19	0.16	0.21
282	1	0	0	0.19	0.16	0.21
283	1	0	0	0.19	0.16	0.21
284	1	0	0	0.19	0.16	0.21
285	1	0	0	0.19	0.16	0.21
286	1	0	0	0.19	0.16	0.21
287	1	0	0	0.19	0.16	0.21
288	1	0	0	0.19	0.16	0.21
289	1	0	0	0.19	0.16	0.21
290	1	0	0	0.19	0.16	0.21
291	1	0	0	0.19	0.16	0.21
292	1	0	0	0.19	0.16	0.21
293	1	0	0	0.19	0.16	0.21
294	1	0	0	0.19	0.16	0.21
295	1	0	0	0.19	0.16	0.21
296	1	0	0	0.19	0.16	0.21
297	1	0	0	0.19	0.16	0.21
298	1	0	0	0.19	0.16	0.21
299	1	0	0	0.19	0.16	0.21
300	1	0	0	0.19	0.16	0.21
301	1	0	0	0.19	0.16	0.21
302	1	0	0	0.19	0.16	0.21
303	1	0	0	0.19	0.16	0.21
304	1	0	0	0.19	0.16	0.21
305	1	0	0	0.19	0.16	0.21
306	0.58	0.42	0	0.19	0.16	0.21
307	1	0	0	0.19	0.16	0.21
308	0.58	0.42	0	0.19	0.16	0.21
309	1	0	0	0.19	0.16	0.21
310	1	0	0	0.19	0.16	0.21
311	1	0	0	0.19	0.16	0.21
312	1	0	0	0.19	0.16	0.21
313	1	0	0	0.19	0.16	0.21
